Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,churn,spend,tenure,frequency,order_gap_days,complaint_score,sent_slope,sent_avg,micro_risk_score,pagerank_score,churn_neighbor_ratio,degree_centrality,churn_score,risk,domain
25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,Neutral,Agree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL,0,0,7,1,15.0,2,-0.046251764381693775,-0.03570339355360613,0.45051513445196806,0.00925283822597028,0.16305073708619777,0.030713009800665603,0.2,LOW,Food
25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,Food delivery apps, Walk-in,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Disagree,Agree,Maybe,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,No,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order ",1,0,7,5,15.0,3,-0.1557760023282273,0.5255406130937434,0.4643821128628519,0.004376288184155156,0.2931028715733148,0.24286792925757886,92.5,HIGH,Food
28,Male,Married,Self Employeed,10001 to 25000,Graduate,2,13.0289,77.54,560022,Food delivery apps, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,No,Anytime (Mon-Sun),60 minutes,Agree,Neutral,Neutral,Disagree,Neutral,No,Important,Moderately Important,Slightly Important,Slightly Important,Important,Slightly Important,Important,Slightly Important,No,I hate online deliveries.Had harsh past experiences with delivery boys and the company responses,1,17500,10,2,10.0,2,-0.1660406471910168,-0.35677529045696166,0.2957956850727379,0.008037114339601789,0.3667568338738048,0.10443864072106807,0.8,LOW,Food
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,13.0289,77.54,560022,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),Agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,No,Weekdays (Mon-Fri),45 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,No,Slightly Important,Very Important,Slightly Important,Important,Slightly Important,Very Important,Important,Important,No,nil,1,37500,9,5,15.0,2,-0.10038446730816414,0.10253562494490738,0.3152229146764956,0.00756609731436609,0.4546440786656988,0.010647652434836183,97.6,HIGH,Food
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,12.9698,77.75,560066,Food delivery apps, Web browser,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly disagree,Yes,Weekend (Sat & Sun),More than 60 minutes,Agree,Agree,Neutral,Neutral,Disagree,Yes,Moderately Important,Important,Important,Important,Important,Very Important,Important,Slightly Important,No,I expect the food that is being delivered to be hot and fresh,1,17500,8,1,10.0,4,-0.3295456453528271,1.0,0.5504875232437084,0.007636085583542548,0.3332454658823869,0.09602144927267332,97.6,HIGH,Food
22,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Important,Very Important,Important,Moderately Important,Important,Important,Moderately Important,Yes,I love swiggy and their app user interface,0,0,4,2,10.0,3,-0.17698949361324612,0.18923189705011007,0.38709208672563844,0.005100801340339442,0.31888216685493365,0.16502560743117983,1.5,LOW,Food
24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps, Walk-in,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,0,0,6,3,10.0,5,-0.07391546327191972,0.6732858026424691,0.41905407968549413,0.007168002537394841,0.245069989221183,0.06998647280032705,1.5,LOW,Food
23,Male,Single,Student,No Income,Post Graduate,1,12.9561,77.5921,560027,Walk-in, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Disagree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Important,Moderately Important,Important,Important,Yes,No Comments!,0,0,5,1,10.0,5,-0.556200330187409,0.1366080712692833,0.32886532391209,0.008535707959710172,0.2368525648711977,0.049962538021309955,5.9,LOW,Food
25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,Neutral,Agree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL,0,0,7,1,15.0,2,-0.48413374172692614,0.3323108381319187,0.6005299679419711,0.0036612367641052474,0.06632496045576904,0.23445474346971756,0.5,LOW,Food
23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Yes,Nil,0,0,5,5,15.0,3,-0.4468098837063207,0.07728672224292339,0.31007874832070415,0.007868505532208435,0.45326531511466805,0.17484327165613003,1.5,LOW,Food
23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Yes,Nil,0,0,5,5,15.0,3,-0.3491740482804445,0.031836967534318236,0.4488741090260816,0.005338030013696131,0.3720325361518683,0.019211898658529073,3.4,LOW,Food
26,Male,Married,Employee,25001 to 50000,Graduate,5,12.9579,77.6309,560007,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,No,Weekend (Sat & Sun),60 minutes,Agree,Agree,Neutral,Agree,Agree,No,Important,Important,Moderately Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,No,I expect quality food rather than delivery time and ratings,1,37500,8,5,10.0,2,-0.18006773198296905,-0.21179295869016787,0.21214011775364464,0.0058088302249756285,0.5335905640097691,0.20998219502821064,95.6,HIGH,Food
32,Female,Married,House wife,No Income,Uneducated,3,13.014,77.5658,560012,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Neutral,Yes,Important,Important,Important,Very Important,Important,Very Important,Important,Slightly Important,No,Expect the delivery person to understand our hunger,1,0,14,3,10.0,5,-0.5716437166080182,0.2721205435830213,0.24915684088200374,0.005183403665245262,0.3870039344487821,0.03363550004214246,95.7,HIGH,Food
24,Female,Single,Student,10001 to 25000,Post Graduate,3,12.9335,77.5691,560028,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Nil,1,17500,6,3,15.0,2,-0.4134487662118169,-0.2406148756743072,0.6868592941589471,0.004373896156464907,0.7985859177691417,0.23991603081956614,99.2,HIGH,Food
23,Male,Single,Student,No Income,Post Graduate,2,12.9442,77.6076,560030,Food delivery apps, Walk-in,Breakfast, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nil,0,0,5,2,15.0,3,0.3397684893358196,0.3662340945253717,0.5631042920154058,0.0077702703550436075,0.43949870322768003,0.24962446668001664,1.2,LOW,Food
22,Female,Single,Employee,10001 to 25000,Graduate,3,12.9698,77.75,560066,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Neutral,Disagree,Neutral,Yes,Very Important,Important,Moderately Important,Important,Very Important,Very Important,Important,Important,Yes,NIL,0,17500,4,3,15.0,2,-0.15687919131842779,0.534114801778364,0.4712880985557925,0.004526805917078602,0.49912301203412435,0.09021592925268346,2.1,LOW,Food
24,Female,Single,Student,No Income,Ph.D,3,12.9438,77.5738,560004,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Moderately Important,Important,Moderately Important,Important,Important,Yes,Need more delivery bandwidth even in rural areas,0,0,6,3,10.0,4,0.17125467054012594,0.24661256289489197,0.4094960431641921,0.0026316754162201564,0.3352540899562369,0.01255449391388335,0.3,LOW,Food
26,Male,Single,Employee,25001 to 50000,Graduate,2,12.9261,77.6221,560034,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Yes,Anytime (Mon-Sun),15 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,No,Important,Important,Moderately Important,Important,Important,Slightly Important,Important,Moderately Important,Yes,Requires professional packaging with no leakage,0,37500,8,2,10.0,2,-0.3300853040029631,-0.014499493422276744,0.5491236834259098,0.008089642579793136,0.3708221199007302,0.16621297308788419,6.6,LOW,Food
28,Male,Married,Employee,More than 50000,Graduate,3,12.9698,77.75,560066,Food delivery apps, Web browser,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,No,NIL,1,60000,10,3,15.0,4,-0.361631267360289,0.2815862317234784,0.43768426679841044,0.004597233316394845,0.614694573279657,0.1722666333196698,98.8,HIGH,Food
26,Male,Single,Employee,More than 50000,Post Graduate,2,12.9698,77.75,560066,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Agree,Strongly Agree,Agree,Agree,Yes,Important,Moderately Important,Important,Important,Important,Moderately Important,Very Important,Important,No,Need more delivery people to cover all orders,1,60000,8,2,15.0,4,-0.5850066164731744,-0.02346922221856504,0.5361163929158859,0.006212256078631498,0.3689486002544671,0.1039466156718125,95.9,HIGH,Food
25,Male,Single,Student,No Income,Post Graduate,1,12.9343,77.6044,560029,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Important,Important,Important,Important,Yes,Nil,0,0,7,1,10.0,5,-0.15170992277016876,0.4742188501860597,0.47347374933581743,0.009841058315781984,0.15314019546517896,0.12347232232064487,0.1,LOW,Food
25,Male,Single,Employee,Below Rs.10000,Graduate,2,12.9698,77.75,560066,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Agree,Agree,Neutral,No,Important,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Important,Important,No,NIL,1,5000,7,2,10.0,3,-0.047907558762781355,-0.6325624336860495,0.3421655108094048,0.0068286473391697905,0.6603202165551773,0.01750186344771623,97.8,HIGH,Food
18,Male,Single,Student,No Income,Graduate,5,12.9635,77.5821,560002,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Agree,Strongly disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Agree,Agree,Yes,Important,Moderately Important,Important,Important,Very Important,Important,Moderately Important,Important,Yes,NIL,0,0,0,5,15.0,2,-0.5681961269577046,-0.034242947247458494,0.507639394598396,0.005719560169402119,0.18911008168725485,0.28503691752102983,0.2,LOW,Food
21,Male,Single,Student,No Income,Post Graduate,4,12.977,77.5773,560009,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Moderately Important,Important,Very Important,Very Important,Important,Moderately Important,Very Important,Very Important,Yes,nil ,0,0,3,4,10.0,3,0.0803270930637572,-0.6963247980495991,0.5060989533114091,0.003554195768042881,0.016726271585388107,0.037914295947704325,0.1,LOW,Food
25,Male,Single,Student,No Income,Post Graduate,1,12.9343,77.6044,560029,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Important,Important,Important,Important,Yes,Nil,0,0,7,1,10.0,5,0.02132068069968336,-0.49802433209088204,0.56367172559622,0.0073813650309356525,0.2768707224925127,0.14079960183973397,0.7,LOW,Food
25,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.9925,77.5633,560021,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,No,0,5000,7,2,15.0,3,-0.2282449867090383,0.6455448919255637,0.3604249112307262,0.009643714422491928,0.5167990214337403,0.08305704126801756,4.9,LOW,Food
23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Yes,Nil,0,0,5,5,15.0,3,-0.48381735631653633,0.45807399278867444,0.6733677569229715,0.007374707947552995,0.25374393614349217,0.18859101282557397,0.5,LOW,Food
23,Male,Single,Employee,10001 to 25000,Post Graduate,2,12.985,77.5533,560010,Food delivery apps, Direct call,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,Slightly Important,Yes,Want different cuisine dishes options in my location,0,17500,5,2,10.0,2,-0.02836114768583915,-0.18779209331391614,0.20207154632617283,0.007929040971101784,0.33785640826181546,0.07505661322330293,0.1,LOW,Food
25,Female,Married,Employee,25001 to 50000,Graduate,4,12.9551,77.6593,560017,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Maybe,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Important,No,I had bad experience with delivery person. They need to be polite,1,37500,7,4,10.0,3,-0.4588478127191407,-0.5010013824163588,0.5011910014391016,0.0038635390213931343,0.7407928056304047,0.02603052389701109,99.8,HIGH,Food
31,Female,Married,House wife,No Income,School,5,13.0289,77.54,560022,Food delivery apps, Web browser,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Agree,Disagree,Agree,Yes,Important,Very Important,Very Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,Yes,I'm happy with the service of online delivery startups,0,0,13,5,15.0,2,0.019802863406411186,-1.0,0.6242107321268981,0.0038197504266270534,0.09067626282977811,0.15690394527925913,0.1,LOW,Food
24,Male,Prefer not to say,Self Employeed,More than 50000,Ph.D,2,13.0138,77.5877,560006,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),15 minutes,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Moderately Important,Slightly Important,No,I need the order to be delivered fast to my location,1,60000,6,2,10.0,5,-0.2934443563429671,-0.11739820317305383,0.2547056206170326,0.004218521649817931,0.3105873729229758,0.0823327773116067,92.3,HIGH,Food
32,Female,Married,Employee,25001 to 50000,Graduate,5,12.9261,77.6221,560034,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Agree,Agree,Agree,Disagree,Yes,Important,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,Yes,I'm satisfied with the service of swiggy,0,37500,14,5,10.0,2,0.43053366739627463,1.0,0.36756146036527404,0.005309252733859173,0.010748083243061113,0.19967699233448985,0.1,LOW,Food
25,Male,Single,Employee,25001 to 50000,Graduate,3,12.9766,77.5993,560001,Food delivery apps, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Yes,Very Important,Very Important,Important,Moderately Important,Slightly Important,Moderately Important,Important,Very Important,Yes,"I'm satisfied with zomato, I'm also a premium member",0,37500,7,3,15.0,3,-0.12180668824190728,0.273953708585459,0.6261025111980183,0.009039401101850423,0.21333956455700476,0.09424521050543312,1.1,LOW,Food
27,Female,Married,Self Employeed,More than 50000,Graduate,5,12.9766,77.5993,560001,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,No,"Freshness is important but when it is packed by the usual package, I feel it's losing it is freshness and quality",1,60000,9,5,10.0,3,-0.6070492477865594,-0.1238289144197958,0.20570847587384422,0.005197078695306268,0.2774169041308977,0.26986712082241365,99.0,HIGH,Food
